date,league,home_team,away_team,result,prob_home,prob_draw,prob_away,prediction,logistic_weight,poisson_weight,boosting_weight,boosting_temperature,avg_home_odds,avg_draw_odds,avg_away_odds,avg_close_home_odds,avg_close_draw_odds,avg_close_away_odds,early_prob_home,early_prob_draw,early_prob_away,close_prob_home,close_prob_draw,close_prob_away
2025-09-30,La Liga,Valencia,Oviedo,A,0.5394881932192104,0.2501187901247033,0.2103930166560862,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.68,3.64,5.11,1.69,3.55,5.39,0.5585638610947616,0.25779870512065917,0.18363743378457914,0.5587841054110171,0.2660127149703152,0.1752031796186677
2025-10-03,Ligue 1,Paris FC,Lorient,H,0.495539436785983,0.2611205059311405,0.2433400572828764,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.74,3.9,4.39,1.76,3.75,4.42,0.5427381314668289,0.2421447048082776,0.21511716372489353,0.5354685309263363,0.25131323051476046,0.21321823855890312
2025-10-03,Bundesliga,Hoffenheim,FC Koln,A,0.4499175834833976,0.2814529811119047,0.2686294354046976,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.91,3.82,3.61,1.94,3.76,3.56,0.4928327645051194,0.2464163822525597,0.26075085324232083,0.48522460342777596,0.2503552475132674,0.26442014905895656
2025-10-03,La Liga,Osasuna,Getafe,H,0.4915873377935876,0.2590968589060469,0.2493158033003653,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.15,2.86,4.1,2.16,2.83,4.06,0.43934057699512924,0.33027351067815663,0.23038591232671413,0.43567847961110556,0.33253198443815835,0.231789535950736
2025-10-03,Serie A,Verona,Sassuolo,A,0.4326899501998817,0.2727410381923376,0.2945690116077805,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.45,3.12,2.99,2.34,3.07,3.24,0.3839280937349526,0.3014819966828955,0.3145899095821518,0.40250564498506813,0.30679583363682716,0.2906985213781047
2025-10-03,Premier League,Bournemouth,Fulham,H,0.4680195388463708,0.2694043639776503,0.2625760971759788,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.97,3.5,3.85,1.95,3.43,4.01,0.4820333041191937,0.2713158883185176,0.24665080756228872,0.48666598259872695,0.2766759959380517,0.23665802146322132
2025-10-04,Bundesliga,Ein Frankfurt,Bayern Munich,A,0.1833722308576523,0.2008124067476495,0.615815362394698,A,0.35,0.4,0.2499999999999999,1.0900000000000003,5.9,5.19,1.42,6.7,5.66,1.36,0.15893876917237454,0.1806818377874778,0.6603793930401478,0.14064270001242427,0.16648517492636797,0.6928721250612078
2025-10-04,Premier League,Leeds,Tottenham,A,0.3201962088989755,0.2791362195484917,0.4006675715525327,A,0.35,0.4,0.2499999999999999,1.0900000000000003,2.75,3.46,2.49,2.75,3.35,2.55,0.34492091008451475,0.2741423418301779,0.38093674808530736,0.34490764106187544,0.2831331381851216,0.371959220753003
2025-10-04,Serie A,Parma,Lecce,A,0.4444767658774773,0.2754824813315558,0.2800407527909668,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.83,3.54,4.33,1.88,3.38,4.28,0.5155750194246274,0.26652606936357853,0.217898911211794,0.5011362376676644,0.27873849905775416,0.22012526327458157
2025-10-04,Bundesliga,Augsburg,Wolfsburg,H,0.3884553743675554,0.2711063198776013,0.3404383057548432,H,0.35,0.4,0.2499999999999999,1.0900000000000003,2.71,3.53,2.42,2.5,3.51,2.67,0.3463155377000134,0.26586830231360803,0.38781615998637864,0.37756076336431427,0.2689179226241555,0.3535213140115302
2025-10-04,La Liga,Ath Bilbao,Mallorca,H,0.5907332355476994,0.2272277794190629,0.1820389850332375,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.52,3.92,6.8,1.61,3.67,6.03,0.6206228579943377,0.24064967963045747,0.1387274623752049,0.5862728527489528,0.25719326782719737,0.15653387942384978
2025-10-04,Bundesliga,Leverkusen,Union Berlin,H,0.7233549467204892,0.1677582420310577,0.108886811248453,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.68,3.91,4.65,1.7,3.89,4.69,0.5583604352272412,0.23990934301323924,0.2017302217595194,0.5557125930167742,0.24285640311787046,0.20143100386535526
2025-10-04,La Liga,Real Madrid,Villarreal,H,0.6082183830920976,0.221763362329439,0.1700182545784632,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.44,4.98,6.1,1.39,5.07,6.76,0.6556421745098547,0.1895832793763435,0.1547745461138018,0.6757747417527491,0.1852715761412862,0.13895368210596465
2025-10-04,Premier League,Man United,Sunderland,H,0.579792992338626,0.2484054705279916,0.1718015371333822,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.5,4.55,5.98,1.61,4.22,5.1,0.632708585247884,0.2085852478839178,0.15870616686819833,0.5892047570030005,0.22479138833526796,0.18600385466173155
2025-10-04,Bundesliga,Dortmund,RB Leipzig,D,0.5502545582931145,0.2437086069887252,0.2060368347181602,H,0.35,0.4,0.2499999999999999,1.0900000000000003,1.68,4.36,4.14,1.67,4.5,4.12,0.5583104446588969,0.21512879518966668,0.22656076015143642,0.5629201406389478,0.20890591885934282,0.2281739405017094
