date,season,league,home_team,away_team,bet,bet_result,odds,odds_source,model_probability,market_probability,break_even_probability,signal,expected_roi,actual_clv,actual_result,won,stake,profit,signal_label
2023-03-18,2022/23,Premier League,Wolves,Leeds,DRAW,D,3.42,Max market,0.30031456551049784,0.2972756992371958,0.29239766081871343,0.003038866273302021,0.027075814045902646,-0.0009081020944834428,A,False,10.0,-10.0,STANDARD
2023-03-18,2022/23,La Liga,Espanol,Celta,DRAW,D,3.34,Max market,0.3036230356671148,0.2998894638194256,0.29940119760479045,0.0037335718476891877,0.014100939128163459,0.013486209233101731,A,False,10.0,-10.0,STANDARD
2023-03-18,2022/23,Ligue 1,Toulouse,Lille,DRAW,D,3.84,Max market,0.2633125456081025,0.2607812605781599,0.2604166666666667,0.002531285029942598,0.011120175135113541,-0.009092957229379472,A,False,10.0,-10.0,STANDARD
2023-03-19,2022/23,Ligue 1,Reims,Marseille,DRAW,D,3.66,Max market,0.2760228150921849,0.27308493404304557,0.27322404371584696,0.002937881049139335,0.010243503237396867,0.006751014573318892,A,False,10.0,-10.0,STANDARD
2023-03-19,2022/23,La Liga,Barcelona,Real Madrid,DRAW,D,3.78,Max market,0.27404095935189926,0.2710640021604105,0.2645502645502646,0.0029769571914887716,0.035874826350179134,0.006419459002974803,H,False,10.0,-10.0,STANDARD
2023-03-19,2022/23,Serie A,Lazio,Roma,DRAW,D,3.22,Max market,0.31849499348325244,0.31451847541460576,0.3105590062111801,0.003976518068646684,0.025553879016072978,0.02453513707480487,H,False,10.0,-10.0,STANDARD
2023-03-19,2022/23,La Liga,Betis,Mallorca,DRAW,D,3.5,Max market,0.292609386725785,0.2894288908083939,0.2857142857142857,0.003180495917391113,0.024132853540247634,0.01699733480925736,H,False,10.0,-10.0,STANDARD
2023-03-19,2022/23,Serie A,Sampdoria,Verona,DRAW,D,3.3,Max market,0.3123677339867243,0.3085621841538326,0.30303030303030304,0.0038055498328917192,0.030813522156190043,0.004608803015583474,H,False,10.0,-10.0,STANDARD
2023-03-19,2022/23,Ligue 1,Troyes,Brest,DRAW,D,3.54,Max market,0.28685802048037684,0.2837505080207512,0.2824858757062147,0.00310751245962565,0.015477392500534037,0.008088846025795904,D,True,10.0,25.4,STANDARD
2023-03-19,2022/23,Ligue 1,Strasbourg,Auxerre,DRAW,D,3.62,Max market,0.28397004777347923,0.2814342459165316,0.27624309392265195,0.002535801856947628,0.02797157293999475,0.0075153831346203015,H,False,10.0,-10.0,STANDARD
2023-04-01,2022/23,Premier League,Bournemouth,Fulham,DRAW,D,3.52,Max market,0.29113394094953965,0.28729491353965797,0.2840909090909091,0.003839027409881679,0.024791472142379645,0.005763887698262804,H,False,10.0,-10.0,STANDARD
2023-04-01,2022/23,Premier League,Crystal Palace,Leicester,DRAW,D,3.4,Max market,0.2998325957036513,0.29606546457966604,0.29411764705882354,0.0037671311239852456,0.019430825392414253,-0.005217687085486256,H,False,10.0,-10.0,STANDARD
2023-04-01,2022/23,Premier League,Nott'm Forest,Wolves,DRAW,D,3.3,Max market,0.31049728240749436,0.3070624848467986,0.30303030303030304,0.003434797560695757,0.024641031944731218,0.0010850879687353543,D,True,10.0,23.0,STANDARD
2023-04-01,2022/23,Ligue 1,Auxerre,Troyes,DRAW,D,3.74,Max market,0.2730590209369833,0.2696928699796054,0.267379679144385,0.0033661509573779114,0.021240738304317608,0.006399322208546332,H,False,10.0,-10.0,STANDARD
2023-04-01,2022/23,Ligue 1,Rennes,Lens,DRAW,D,3.56,Max market,0.2856220451457165,0.2821458655201185,0.2808988764044944,0.003476179625597986,0.01681448071875069,0.01915656665495935,A,False,10.0,-10.0,STANDARD
2023-04-02,2022/23,La Liga,Ath Madrid,Betis,Ath Madrid,H,1.63,Max market,0.6271304471715993,0.6221512492649687,0.6134969325153374,0.004979197906630595,0.02222262888970672,0.06326128455674418,H,True,10.0,6.299999999999999,STANDARD
2023-04-02,2022/23,Ligue 1,Clermont,Ajaccio,DRAW,D,3.38,Max market,0.302300538405379,0.2983207391848442,0.2958579881656805,0.003979799220534819,0.021775819810180952,0.015369685331172833,H,False,10.0,-10.0,STANDARD
2023-04-02,2022/23,Bundesliga,Werder Bremen,Hoffenheim,DRAW,D,3.83,Max market,0.2654988135829641,0.26260364874241443,0.2610966057441253,0.002895164840549691,0.016860456022752546,-0.0014963041096460739,A,False,10.0,-10.0,STANDARD
2023-04-02,2022/23,La Liga,Villarreal,Sociedad,DRAW,D,3.4,Max market,0.3023717895473965,0.298211673665833,0.29411764705882354,0.004160115881563509,0.028064084461148164,0.01295943130389493,H,False,10.0,-10.0,STANDARD
2023-04-02,2022/23,Ligue 1,Nantes,Reims,DRAW,D,3.47,Max market,0.2914804849060053,0.2887902858387972,0.2881844380403458,0.002690199067208132,0.011437282623838474,-0.0068133776076989006,A,False,10.0,-10.0,STANDARD
2023-04-02,2022/23,Serie A,Bologna,Udinese,DRAW,D,3.48,Max market,0.2903794329821249,0.287174423672528,0.28735632183908044,0.0032050093095968846,0.010520426777794523,0.0032370441747737733,H,False,10.0,-10.0,STANDARD
2023-04-02,2022/23,Bundesliga,FC Koln,M'gladbach,DRAW,D,3.83,Max market,0.26599445980418046,0.26272270892804406,0.2610966057441253,0.0032717508761364034,0.018758781050011164,0.011543596861904426,D,True,10.0,28.3,STANDARD
2023-04-02,2022/23,Ligue 1,Brest,Toulouse,DRAW,D,3.64,Max market,0.2792432679230248,0.2763280503423965,0.2747252747252747,0.002915217580628293,0.016445495239810315,0.001959411431303848,H,False,10.0,-10.0,STANDARD
2023-04-02,2022/23,Premier League,Newcastle,Man United,DRAW,D,3.62,Max market,0.2813216032561213,0.27800359312707273,0.27624309392265195,0.0033180101290485875,0.018384203787159326,-0.0025951663138572556,H,False,10.0,-10.0,STANDARD
2023-04-03,2022/23,Serie A,Sassuolo,Torino,DRAW,D,3.46,Max market,0.29580455736614286,0.29214875540674184,0.28901734104046245,0.003655801959401017,0.023483768486854295,0.0018666092671540402,D,True,10.0,24.6,STANDARD
2023-04-03,2022/23,Premier League,Everton,Tottenham,DRAW,D,3.55,Max market,0.2878388628414109,0.28524979844280507,0.28169014084507044,0.002589064398605845,0.02182796308700863,0.0019076874073113426,D,True,10.0,25.5,STANDARD
2023-04-03,2022/23,La Liga,Valencia,Vallecano,DRAW,D,3.38,Max market,0.30199188048004516,0.29791424619640383,0.2958579881656805,0.004077634283641329,0.02073255602255264,-0.005016168575801727,D,True,10.0,23.799999999999997,STANDARD
2023-04-03,2022/23,Serie A,Empoli,Lecce,DRAW,D,3.3,Max market,0.31052708239043925,0.3071343453707062,0.30303030303030304,0.0033927370197330275,0.024739371888449435,0.014526558220008368,H,False,10.0,-10.0,STANDARD
2023-04-04,2022/23,Premier League,Leicester,Aston Villa,DRAW,D,3.6,Max market,0.2855411293097618,0.28217280349981766,0.2777777777777778,0.003368325809944117,0.027948065515142506,0.0012722385525411606,A,False,10.0,-10.0,STANDARD
