date,league,home_team,away_team,prob_home,prob_draw,prob_away,result
2025-02-15,Bundesliga,Union Berlin,M'gladbach,0.4062666136300217,0.26826321677558823,0.3254701695943901,A
2025-02-15,Bundesliga,Stuttgart,Wolfsburg,0.5284274817314359,0.25282304207713185,0.2187494761914322,A
2025-02-15,La Liga,Osasuna,Real Madrid,0.13635535415502437,0.1962073061327902,0.6674373397121854,D
2025-02-15,Premier League,Southampton,Bournemouth,0.1272903191126004,0.250290324981313,0.6224193559060867,A
2025-02-15,Premier League,West Ham,Brentford,0.40676080102348033,0.281946877458988,0.3112923215175317,A
2025-02-15,Serie A,Milan,Verona,0.7488348764595645,0.17338813577996579,0.07777698776046982,H
2025-02-15,La Liga,Leganes,Alaves,0.4216700405246269,0.2956608102005448,0.28266914927482834,D
2025-02-15,Bundesliga,Leverkusen,Bayern Munich,0.4225216027003259,0.2344710405985246,0.34300735670114946,D
2025-02-15,Ligue 1,Monaco,Nantes,0.6813052379569422,0.21103063252179466,0.10766412952126311,H
2025-02-15,Premier League,Crystal Palace,Everton,0.4794181685302291,0.2746111999338312,0.24597063153593976,A
2025-02-15,Bundesliga,Bochum,Dortmund,0.20742900683764395,0.23177194735052267,0.5607990458118334,H
2025-02-16,Serie A,Parma,Roma,0.1746138132928311,0.2377914701581856,0.5875947165489832,A
2025-02-16,Serie A,Udinese,Empoli,0.544207782995884,0.24260108214546425,0.2131911348586518,H
2025-02-16,Bundesliga,Werder Bremen,Hoffenheim,0.5627574164433345,0.23468898182594208,0.2025536017307234,A
2025-02-16,Ligue 1,Le Havre,Nice,0.18173552041731594,0.2397277498755177,0.5785367297071664,A
2025-02-16,Serie A,Juventus,Inter,0.32914193860184116,0.2201824196128127,0.450675641785346,H
2025-02-16,Ligue 1,Reims,Angers,0.5332797656989028,0.2816349578926819,0.18508527640841532,A
2025-02-16,Ligue 1,Lens,Strasbourg,0.5257631116598259,0.26635327898720046,0.20788360935297356,A
2025-02-16,Bundesliga,Ein Frankfurt,Holstein Kiel,0.6733545456559771,0.20408391332466064,0.12256154101936222,H
2025-02-16,Serie A,Fiorentina,Como,0.6343850053318365,0.22281666546998946,0.14279832919817395,A
2025-02-16,La Liga,Mallorca,Las Palmas,0.5107767324236513,0.27016797549044874,0.2190552920859,H
2025-02-16,Serie A,Monza,Lecce,0.3905325975666949,0.2909853895611914,0.3184820128721137,D
2025-02-16,Premier League,Liverpool,Wolves,0.8353075749069103,0.12328054863718395,0.04141187645590585,H
2025-02-16,La Liga,Betis,Sociedad,0.4524585436303007,0.2579256743498252,0.28961578201987404,H
2025-02-16,Ligue 1,Montpellier,Lyon,0.20399983194730598,0.2549493287365225,0.5410508393161715,A
2025-02-16,La Liga,Valladolid,Sevilla,0.27595261728257037,0.29316819006304773,0.43087919265438196,A
2025-02-16,La Liga,Espanol,Ath Bilbao,0.1999611279130855,0.25652820436709606,0.5435106677198185,D
2025-02-16,Premier League,Tottenham,Man United,0.44452741850803906,0.24919042928450866,0.3062821522074522,H
2025-02-16,Ligue 1,Rennes,Lille,0.29377712207931445,0.2527439097022514,0.4534789682184341,A
2025-02-16,Bundesliga,Heidenheim,Mainz,0.291789301776221,0.27128352553776464,0.43692717268601433,A
2025-02-17,Serie A,Genoa,Venezia,0.5723645779042292,0.26242092762844443,0.16521449446732644,H
2025-02-17,La Liga,Barcelona,Vallecano,0.757007871341609,0.16982844908159087,0.0731636795768002,H
2025-02-19,Premier League,Aston Villa,Liverpool,0.20023494674084932,0.21830025927081662,0.5814647939883341,D
2025-02-21,Premier League,Leicester,Brentford,0.2800664996858955,0.28970264906440224,0.4302308512497022,A
2025-02-21,Ligue 1,Rennes,Reims,0.4918913149310357,0.2586505973146216,0.24945808775434275,H
2025-02-21,La Liga,Celta,Osasuna,0.4021821612288084,0.28092718055818283,0.3168906582130088,H
2025-02-21,Bundesliga,Freiburg,Werder Bremen,0.5060854204951452,0.2638381649263131,0.2300764145785417,H
2025-02-21,Serie A,Lecce,Udinese,0.3400510701493515,0.2844537128291203,0.37549521702152827,A
2025-02-22,Serie A,Inter,Genoa,0.7487384233075126,0.17108063316015268,0.08018094353233475,H
2025-02-22,Serie A,Venezia,Lazio,0.12386196332779763,0.20763690939250284,0.6685011272796997,D
2025-02-22,Bundesliga,M'gladbach,Augsburg,0.48725018969108874,0.290354294469458,0.2223955158394532,A
2025-02-22,La Liga,Las Palmas,Barcelona,0.08233570594363533,0.1806108372114938,0.7370534568448709,A
2025-02-22,Premier League,Ipswich,Tottenham,0.25409243410149496,0.28160770414234987,0.4642998617561552,A
2025-02-22,Bundesliga,Dortmund,Union Berlin,0.5756968950924549,0.25109222685213356,0.17321087805541158,H
2025-02-22,Premier League,Everton,Man United,0.4561628581511873,0.2679106602749421,0.2759264815738706,D
2025-02-22,Bundesliga,Holstein Kiel,Leverkusen,0.09767510707748622,0.17461320585855997,0.7277116870639538,A
2025-02-22,Premier League,Fulham,Crystal Palace,0.44835917367538664,0.2812479591526626,0.2703928671719509,A
2025-02-22,Bundesliga,Wolfsburg,Bochum,0.5999585434089205,0.24107962636594868,0.15896183022513083,D
2025-02-22,La Liga,Alaves,Espanol,0.4538965838243734,0.28807241345894063,0.2580310027166859,A
2025-02-22,Premier League,Bournemouth,Wolves,0.6724699619119143,0.20314175555930822,0.12438828252877739,A
2025-02-22,Premier League,Arsenal,West Ham,0.7773649019129041,0.1565611478713957,0.06607395021570028,A
2025-02-22,La Liga,Valencia,Ath Madrid,0.15130676158165976,0.2362816184484098,0.6124116199699303,A
2025-02-22,Ligue 1,Auxerre,Marseille,0.2092080145544522,0.23866197737969547,0.5521300080658522,H
2025-02-22,Serie A,Parma,Bologna,0.13543861437718557,0.21720147483581534,0.6473599107869991,H
2025-02-22,Ligue 1,St Etienne,Angers,0.4025537391759456,0.31946489406025746,0.2779813667637969,D
2025-02-22,Bundesliga,Mainz,St Pauli,0.5380840572318594,0.26697164625572284,0.1949442965124177,H
2025-02-22,Serie A,Torino,Milan,0.3092398554439128,0.24497706048624557,0.44578308406984174,H
2025-02-22,Premier League,Southampton,Brighton,0.1853611176365313,0.24823964323813558,0.5663992391253331,A
2025-02-22,Ligue 1,Lille,Monaco,0.4155711618144235,0.234443115088855,0.34998572309672155,H
2025-02-22,La Liga,Vallecano,Villarreal,0.264166864092177,0.2859399029315622,0.4498932329762608,A
2025-02-22,Premier League,Aston Villa,Chelsea,0.44483627685774185,0.23275671889091473,0.32240700425134344,H
2025-02-23,Ligue 1,Le Havre,Toulouse,0.3034746466096753,0.28212953488418896,0.41439581850613566,A
2025-02-23,Bundesliga,Bayern Munich,Ein Frankfurt,0.6418694787756744,0.21554247212754368,0.14258804909678194,H
2025-02-23,Serie A,Cagliari,Juventus,0.1654735089860488,0.2247593708460902,0.6097671201678609,A
2025-02-23,La Liga,Ath Bilbao,Valladolid,0.793289449781031,0.14733210956061463,0.05937844065835444,H
2025-02-23,Premier League,Man City,Liverpool,0.4699086373690624,0.2106326744488002,0.3194586881821373,A
2025-02-23,Ligue 1,Nantes,Lens,0.24737273326690637,0.27187379082048874,0.48075347591260487,H
2025-02-23,Premier League,Newcastle,Nott'm Forest,0.4711442022867614,0.25412963174910075,0.27472616596413796,H
2025-02-23,La Liga,Getafe,Betis,0.3685816549193718,0.2755281932684865,0.3558901518121418,A
2025-02-23,Serie A,Como,Napoli,0.1953331768603212,0.21413898979369372,0.5905278333459851,H
2025-02-23,Ligue 1,Lyon,Paris SG,0.2370101342810687,0.2042019855810463,0.558787880137885,A
2025-02-23,La Liga,Real Madrid,Girona,0.7486911136468253,0.15764354636619193,0.09366533998698266,H
2025-02-23,Serie A,Empoli,Atalanta,0.12519357156218108,0.21202918121518344,0.6627772472226355,A
2025-02-23,Bundesliga,RB Leipzig,Heidenheim,0.7272340621813036,0.1833977605594513,0.08936817725924504,D
2025-02-23,Ligue 1,Nice,Montpellier,0.7170159963300128,0.1874340350381124,0.09554996863187484,H
2025-02-23,La Liga,Sociedad,Leganes,0.5202077210657273,0.27278526008706006,0.20700701884721265,H
2025-02-23,Ligue 1,Strasbourg,Brest,0.4343221638445525,0.26161425914225733,0.3040635770131901,D
2025-02-23,Bundesliga,Hoffenheim,Stuttgart,0.26948022163775637,0.26550549545263996,0.46501428290960356,D
2025-02-23,Serie A,Verona,Fiorentina,0.205943638715932,0.2628671428623323,0.5311892184217358,H
2025-02-24,La Liga,Sevilla,Mallorca,0.4927629133644753,0.2579485417082727,0.249288544927252,D
2025-02-24,Serie A,Roma,Monza,0.6962049968670714,0.20336203183455995,0.10043297129836873,H
2025-02-25,Premier League,Wolves,Fulham,0.3448998154260907,0.28264916591097794,0.37245101866293134,A
2025-02-25,Premier League,Chelsea,Southampton,0.7787219189972675,0.1647324425602054,0.056545638442526976,H
2025-02-25,Premier League,Brighton,Bournemouth,0.40411262408119103,0.28356959696755646,0.3123177789512525,H
2025-02-25,Premier League,Crystal Palace,Aston Villa,0.3924053688327125,0.25347787840930314,0.3541167527579845,H
2025-02-26,Premier League,Tottenham,Man City,0.20319497401096528,0.212238772095221,0.5845662538938138,A
2025-02-26,Premier League,Liverpool,Newcastle,0.7208163018476788,0.16284776245140764,0.11633593570091362,H
2025-02-26,Premier League,Brentford,Everton,0.42119630639185335,0.2883188054745401,0.2904848881336065,D
2025-02-26,Premier League,Nott'm Forest,Arsenal,0.2184254561254641,0.21989372439813193,0.5616808194764039,D
2025-02-26,Premier League,Man United,Ipswich,0.6576399814625733,0.20049222118622476,0.14186779735120197,H
2025-02-27,Premier League,West Ham,Leicester,0.6452959034039196,0.21523258089474095,0.13947151570133942,H
2025-02-27,Serie A,Bologna,Milan,0.4017484332563226,0.2542650938110546,0.34398647293262286,H
2025-02-28,Serie A,Fiorentina,Lecce,0.6426259148575423,0.22529450021912356,0.1320795849233342,H
2025-02-28,Ligue 1,Monaco,Reims,0.7171903912100879,0.18201084490820588,0.10079876388170636,H
2025-02-28,Bundesliga,Stuttgart,Bayern Munich,0.20592850583743785,0.21973552699281218,0.57433596716975,A
2025-02-28,La Liga,Valladolid,Las Palmas,0.324360092920985,0.3246385446944426,0.3510013623845724,D
2025-03-01,Bundesliga,Werder Bremen,Wolfsburg,0.3349667182078219,0.2983738542555319,0.3666594275366462,A
2025-03-01,La Liga,Vallecano,Sevilla,0.3891884269747153,0.2934572116844781,0.3173543613408067,D
2025-03-01,Bundesliga,Bochum,Hoffenheim,0.38466088375771623,0.27198734742808406,0.3433517688141996,A
2025-03-01,Bundesliga,Ein Frankfurt,Leverkusen,0.22998668062914962,0.2294754064586597,0.5405379129121907,A
2025-03-01,La Liga,Ath Madrid,Ath Bilbao,0.49081669423929364,0.24613491423088737,0.26304839152981896,H
2025-03-01,Bundesliga,RB Leipzig,Mainz,0.543044061969159,0.256467063612128,0.20048887441871308,A
2025-03-01,La Liga,Girona,Celta,0.48451319277174765,0.27360759335330653,0.24187921387494588,D
2025-03-01,Ligue 1,Paris SG,Lille,0.6821996790472152,0.18888580589362303,0.12891451505916174,H
2025-03-01,Bundesliga,Heidenheim,M'gladbach,0.3299774429919872,0.27705787603635806,0.39296468097165466,A
2025-03-01,La Liga,Betis,Real Madrid,0.19553280280922214,0.22290560596729728,0.5815615912234806,H
2025-03-01,Bundesliga,St Pauli,Dortmund,0.22062389953939038,0.24643073992703746,0.5329453605335721,A
2025-03-01,Serie A,Atalanta,Venezia,0.81224210953317,0.14068731695200365,0.047070573514826373,D
2025-03-01,Ligue 1,St Etienne,Nice,0.15007335795402493,0.2494551334362178,0.6004715086097573,A
2025-03-01,Serie A,Napoli,Inter,0.3755610672132748,0.21479924890709018,0.4096396838796351,D
2025-03-01,Ligue 1,Lens,Le Havre,0.6565234986246117,0.22284647431817703,0.12063002705721129,A
2025-03-01,Serie A,Udinese,Parma,0.61421619391047,0.24451024666424548,0.14127355942528444,H
2025-03-02,Ligue 1,Montpellier,Rennes,0.3273540244742621,0.2980366524153824,0.3746093231103554,A
2025-03-02,Serie A,Bologna,Cagliari,0.6597322818266804,0.22391098476472,0.1163567334085996,H
2025-03-02,La Liga,Mallorca,Alaves,0.5108620243310367,0.2673043022697443,0.22183367339921897,D
2025-03-02,Ligue 1,Angers,Toulouse,0.27553588442593435,0.2774621533246499,0.44700196224941563,A
2025-03-02,Serie A,Genoa,Empoli,0.6297897735903837,0.20950513677455665,0.16070508963505964,D
2025-03-02,Bundesliga,Augsburg,Freiburg,0.3469506372982424,0.2930137521210192,0.3600356105807384,D
2025-03-02,Ligue 1,Marseille,Nantes,0.7076093777025622,0.18996121560500778,0.10242940669243014,H
2025-03-02,La Liga,Leganes,Getafe,0.3604208017045957,0.30328287773555257,0.33629632055985176,H
2025-03-02,Ligue 1,Lyon,Brest,0.5712740702629533,0.22024364050008355,0.20848228923696305,H
2025-03-02,Serie A,Monza,Torino,0.22048373107210775,0.2741445206614935,0.5053717482663987,A
2025-03-02,Serie A,Roma,Como,0.601129308043453,0.2395769791405804,0.15929371281596663,H
2025-03-02,Bundesliga,Union Berlin,Holstein Kiel,0.4741119747209566,0.2707884028390933,0.2550996224399501,A
2025-03-02,Ligue 1,Auxerre,Strasbourg,0.3718131836231265,0.2855610422227185,0.342625774154155,A
2025-03-02,La Liga,Barcelona,Sociedad,0.7388857529354844,0.16854789374653426,0.09256635331798126,H
2025-03-02,Serie A,Milan,Lazio,0.43708007805423693,0.24755324597429673,0.31536667597146634,A
2025-03-02,La Liga,Osasuna,Valencia,0.5558347680950986,0.2411513229060049,0.2030139089988965,D
2025-03-03,Serie A,Juventus,Verona,0.7597225965840391,0.17343200606741868,0.06684539734854215,H
2025-03-07,Ligue 1,Toulouse,Monaco,0.2783342850665476,0.2332048858494694,0.48846082908398303,D
2025-03-07,Serie A,Cagliari,Genoa,0.3423869136560148,0.2814568050394972,0.37615628130448797,D
2025-03-07,Bundesliga,M'gladbach,Mainz,0.3758774048114596,0.29705080036035225,0.32707179482818816,A
